   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
 710 | 0.373 | 0.859 | 0.012 |  9.051 |   7 |   5 |  __ |     __ |      __ |       __ | 
 711 | 0.328 | 0.286 | 0.014 |  9.065 |   7 |   5 |  __ |     __ |      __ |       __ | 
 712 | 0.686 | 0.443 | 0.005 |  9.070 |   7 |   4 |   3 |  9.284 | 0.13573 |  9.42020 | 
 713 | 0.660 | 0.033 | 0.005 |  9.075 |   7 |   5 |  __ |     __ |      __ |       __ | 
 714 | 0.333 | 0.293 | 0.013 |  9.088 |   7 |   4 |   4 |  9.285 | 0.20442 |  9.48975 | 
 715 | 0.836 | 0.151 | 0.002 |  9.090 |   7 |   5 |  __ |     __ |      __ |       __ | 
 716 | 0.255 | 0.235 | 0.017 |  9.107 |   7 |   5 |  __ |     __ |      __ |       __ | 
 717 | 0.283 | 0.591 | 0.015 |  9.122 |   7 |   5 |  __ |     __ |      __ |       __ | 
 718 | 0.295 | 0.357 | 0.015 |  9.137 |   7 |   5 |  __ |     __ |      __ |       __ | 
 719 | 0.462 | 0.828 | 0.009 |  9.147 |   7 |   5 |  __ |     __ |      __ |       __ | 
 720 | 0.027 | 0.480 | 0.044 |  9.191 |   7 |   5 |  __ |     __ |      __ |       __ | 
 721 | 0.823 | 0.581 | 0.002 |  9.193 |   7 |   5 |  __ |     __ |      __ |       __ | 
 722 | 0.434 | 0.023 | 0.010 |  9.203 |   7 |   5 |  __ |     __ |      __ |       __ | 
 723 | 0.785 | 0.016 | 0.003 |  9.206 |   7 |   4 |   7 |  9.324 | 0.68707 | 10.01086 | 
 724 | 0.461 | 0.371 | 0.009 |  9.216 |   7 |   5 |  __ |     __ |      __ |       __ | 
 725 | 0.846 | 0.663 | 0.002 |  9.218 |   7 |   5 |  __ |     __ |      __ |       __ | 
 726 | 0.474 | 0.727 | 0.009 |  9.227 |   7 |   5 |  __ |     __ |      __ |       __ | 
 727 | 0.566 | 0.519 | 0.007 |  9.234 |   7 |   5 |  __ |     __ |      __ |       __ | 
 728 | 0.165 | 0.651 | 0.022 |  9.256 |   7 |   4 |   3 |  9.420 | 0.07154 |  9.49174 | 
 729 | 0.092 | 0.537 | 0.029 |  9.285 |   7 |   3 |   6 |  9.482 | 0.10354 |  9.58518 | 
 730 | 0.488 | 0.812 | 0.009 |  9.293 |   7 |   3 |   4 |  9.490 | 0.03478 |  9.52454 | 
 731 | 0.230 | 0.736 | 0.018 |  9.311 |   7 |   4 |   3 |  9.492 | 0.05100 |  9.54274 | 
 732 | 0.067 | 0.878 | 0.033 |  9.344 |   7 |   4 |   4 |  9.525 | 0.02162 |  9.54616 | 
 733 | 0.611 | 0.201 | 0.006 |  9.350 |   7 |   5 |  __ |     __ |      __ |       __ | 
 734 | 0.591 | 0.377 | 0.006 |  9.357 |   7 |   5 |  __ |     __ |      __ |       __ | 
 735 | 0.839 | 0.922 | 0.002 |  9.359 |   7 |   5 |  __ |     __ |      __ |       __ | 
 736 | 0.478 | 0.750 | 0.009 |  9.368 |   7 |   5 |  __ |     __ |      __ |       __ | 
 737 | 0.959 | 0.076 | 0.001 |  9.368 |   7 |   5 |  __ |     __ |      __ |       __ | 
 738 | 0.568 | 0.668 | 0.007 |  9.375 |   7 |   5 |  __ |     __ |      __ |       __ | 
 739 | 0.224 | 0.732 | 0.018 |  9.393 |   7 |   5 |  __ |     __ |      __ |       __ | 
 740 | 0.157 | 0.880 | 0.023 |  9.416 |   7 |   5 |  __ |     __ |      __ |       __ | 
 741 | 0.816 | 0.077 | 0.002 |  9.419 |   7 |   5 |  __ |     __ |      __ |       __ | 
 742 | 0.548 | 0.228 | 0.007 |  9.426 |   7 |   4 |   5 |  9.538 | 0.24658 |  9.78410 | 
 743 | 0.929 | 0.409 | 0.001 |  9.427 |   7 |   5 |  __ |     __ |      __ |       __ | 
 744 | 0.362 | 0.678 | 0.012 |  9.439 |   7 |   5 |  __ |     __ |      __ |       __ | 
 745 | 0.984 | 0.284 | 0.000 |  9.439 |   7 |   5 |  __ |     __ |      __ |       __ | 
 746 | 0.790 | 0.729 | 0.003 |  9.442 |   7 |   5 |  __ |     __ |      __ |       __ | 
 747 | 0.827 | 0.389 | 0.002 |  9.445 |   7 |   5 |  __ |     __ |      __ |       __ | 
 748 | 0.103 | 0.482 | 0.028 |  9.472 |   7 |   5 |  __ |     __ |      __ |       __ | 
 749 | 0.680 | 0.726 | 0.005 |  9.477 |   7 |   5 |  __ |     __ |      __ |       __ | 
 750 | 0.278 | 0.856 | 0.016 |  9.493 |   7 |   2 |   3 |  9.543 | 0.02594 |  9.56868 | 
 751 | 0.789 | 0.316 | 0.003 |  9.496 |   7 |   3 |   4 |  9.546 | 0.19206 |  9.73821 | 
 752 | 0.826 | 0.811 | 0.002 |  9.498 |   7 |   4 |   3 |  9.569 | 0.03491 |  9.60359 | 
 753 | 0.065 | 0.414 | 0.033 |  9.531 |   7 |   4 |   6 |  9.585 | 0.14694 |  9.73212 | 
 754 | 0.233 | 0.424 | 0.018 |  9.549 |   7 |   2 |   3 |  9.604 | 0.14315 |  9.74674 | 
 755 | 0.072 | 0.378 | 0.032 |  9.581 |   7 |   2 |   1 |  9.617 | 0.16205 |  9.77886 | 
 756 | 0.431 | 0.202 | 0.010 |  9.591 |   7 |   2 |   2 |  9.666 | 0.26683 |  9.93266 | 
 757 | 0.794 | 0.069 | 0.003 |  9.594 |   7 |   3 |   6 |  9.732 | 0.44443 | 10.17655 | 
 758 | 0.211 | 0.010 | 0.019 |  9.613 |   7 |   3 |   4 |  9.738 | 0.77200 | 10.51021 | 
 759 | 0.304 | 0.623 | 0.015 |  9.628 |   7 |   3 |   3 |  9.747 | 0.07881 |  9.82555 | 
 760 | 0.859 | 0.644 | 0.002 |  9.630 |   7 |   4 |   1 |  9.779 | 0.07326 |  9.85211 | 
 761 | 0.572 | 0.345 | 0.007 |  9.636 |   7 |   5 |  __ |     __ |      __ |       __ | 
 762 | 0.672 | 0.774 | 0.005 |  9.641 |   7 |   5 |  __ |     __ |      __ |       __ | 
 763 | 0.528 | 0.605 | 0.008 |  9.649 |   7 |   5 |  __ |     __ |      __ |       __ | 
 764 | 0.482 | 0.862 | 0.009 |  9.658 |   7 |   5 |  __ |     __ |      __ |       __ | 
 765 | 0.535 | 0.466 | 0.008 |  9.666 |   7 |   5 |  __ |     __ |      __ |       __ | 
 766 | 0.086 | 0.032 | 0.030 |  9.696 |   7 |   4 |   5 |  9.784 | 0.57487 | 10.35897 | 
 767 | 0.151 | 0.209 | 0.023 |  9.719 |   7 |   5 |  __ |     __ |      __ |       __ | 
 768 | 0.270 | 0.260 | 0.016 |  9.735 |   7 |   4 |   3 |  9.826 | 0.22440 | 10.04995 | 
 769 | 0.286 | 0.245 | 0.015 |  9.750 |   7 |   3 |   1 |  9.852 | 0.23410 | 10.08622 | 
 770 | 0.901 | 0.403 | 0.001 |  9.751 |   7 |   4 |   2 |  9.933 | 0.15157 | 10.08423 | 
 771 | 0.166 | 0.298 | 0.022 |  9.773 |   7 |   5 |  __ |     __ |      __ |       __ | 
 772 | 0.680 | 0.198 | 0.005 |  9.778 |   7 |   5 |  __ |     __ |      __ |       __ | 
 773 | 0.129 | 0.460 | 0.025 |  9.803 |   7 |   3 |   7 | 10.011 | 0.12946 | 10.14032 | 
 774 | 0.640 | 0.951 | 0.005 |  9.808 |   7 |   4 |   3 | 10.050 | 0.00840 | 10.05835 | 
 775 | 0.658 | 0.435 | 0.005 |  9.813 |   7 |   5 |  __ |     __ |      __ |       __ | 
 776 | 0.392 | 0.358 | 0.011 |  9.825 |   7 |   5 |  __ |     __ |      __ |       __ | 
 777 | 0.834 | 0.373 | 0.002 |  9.827 |   7 |   4 |   3 | 10.058 | 0.16435 | 10.22270 | 
 778 | 0.422 | 0.762 | 0.011 |  9.837 |   7 |   5 |  __ |     __ |      __ |       __ | 
 779 | 0.998 | 0.803 | 0.000 |  9.838 |   7 |   5 |  __ |     __ |      __ |       __ | 
 780 | 0.006 | 0.070 | 0.063 |  9.901 |   7 |   4 |   2 | 10.084 | 0.44297 | 10.52720 | 
 781 | 0.392 | 0.806 | 0.011 |  9.912 |   7 |   5 |  __ |     __ |      __ |       __ | 
 782 | 0.359 | 0.529 | 0.012 |  9.924 |   7 |   5 |  __ |     __ |      __ |       __ | 
 783 | 0.294 | 0.058 | 0.015 |  9.939 |   7 |   4 |   1 | 10.086 | 0.47574 | 10.56196 | 
 784 | 0.483 | 0.116 | 0.009 |  9.948 |   7 |   5 |  __ |     __ |      __ |       __ | 
 785 | 0.838 | 0.230 | 0.002 |  9.950 |   7 |   5 |  __ |     __ |      __ |       __ | 
 786 | 0.734 | 0.405 | 0.004 |  9.954 |   7 |   5 |  __ |     __ |      __ |       __ | 
 787 | 0.837 | 0.174 | 0.002 |  9.956 |   7 |   5 |  __ |     __ |      __ |       __ | 
 788 | 0.483 | 0.954 | 0.009 |  9.965 |   7 |   5 |  __ |     __ |      __ |       __ | 
 789 | 0.078 | 0.097 | 0.031 |  9.996 |   7 |   5 |  __ |     __ |      __ |       __ | 
 790 | 0.577 | 0.873 | 0.007 | 10.003 |   7 |   5 |  __ |     __ |      __ |       __ | 
 791 | 0.468 | 0.344 | 0.009 | 10.012 |   7 |   4 |   7 | 10.140 | 0.17781 | 10.31813 | 
 792 | 0.239 | 0.685 | 0.017 | 10.030 |   7 |   5 |  __ |     __ |      __ |       __ | 
 793 | 0.815 | 0.092 | 0.002 | 10.032 |   7 |   5 |  __ |     __ |      __ |       __ | 
 794 | 0.048 | 0.479 | 0.037 | 10.069 |   7 |   3 |   6 | 10.177 | 0.12274 | 10.29929 | 
 795 | 0.319 | 0.312 | 0.014 | 10.083 |   7 |   4 |   3 | 10.223 | 0.19393 | 10.41663 | 
 796 | 0.045 | 0.055 | 0.038 | 10.121 |   7 |   3 |   6 | 10.299 | 0.48407 | 10.78336 | 
 797 | 0.756 | 0.466 | 0.003 | 10.125 |   7 |   4 |   7 | 10.318 | 0.12724 | 10.44537 | 
 798 | 0.090 | 0.414 | 0.029 | 10.154 |   7 |   4 |   5 | 10.359 | 0.14687 | 10.50583 | 
 799 | 0.337 | 0.824 | 0.013 | 10.167 |   7 |   5 |  __ |     __ |      __ |       __ | 
 800 | 0.908 | 0.095 | 0.001 | 10.168 |   7 |   5 |  __ |     __ |      __ |       __ | 
 801 | 0.789 | 0.788 | 0.003 | 10.171 |   7 |   5 |  __ |     __ |      __ |       __ | 
 802 | 0.397 | 0.920 | 0.011 | 10.183 |   7 |   4 |   3 | 10.417 | 0.01396 | 10.43059 | 
 803 | 0.094 | 0.429 | 0.029 | 10.211 |   7 |   5 |  __ |     __ |      __ |       __ | 
 804 | 0.831 | 0.766 | 0.002 | 10.214 |   7 |   5 |  __ |     __ |      __ |       __ | 
 805 | 0.379 | 0.242 | 0.012 | 10.225 |   7 |   4 |   3 | 10.431 | 0.23648 | 10.66707 | 
 806 | 0.325 | 0.633 | 0.014 | 10.239 |   7 |   5 |  __ |     __ |      __ |       __ | 
 807 | 0.005 | 0.962 | 0.064 | 10.303 |   7 |   4 |   7 | 10.445 | 0.00638 | 10.45175 | 
 808 | 0.162 | 0.699 | 0.022 | 10.325 |   7 |   4 |   7 | 10.452 | 0.05972 | 10.51147 | 
 809 | 0.467 | 0.698 | 0.009 | 10.334 |   7 |   5 |  __ |     __ |      __ |       __ | 
 810 | 0.636 | 0.209 | 0.006 | 10.340 |   7 |   5 |  __ |     __ |      __ |       __ | 
 811 | 0.483 | 0.226 | 0.009 | 10.349 |   7 |   5 |  __ |     __ |      __ |       __ | 
 812 | 0.318 | 0.881 | 0.014 | 10.363 |   7 |   4 |   5 | 10.506 | 0.02104 | 10.52687 | 
 813 | 0.810 | 0.477 | 0.003 | 10.365 |   7 |   5 |  __ |     __ |      __ |       __ | 
 814 | 0.022 | 0.440 | 0.046 | 10.412 |   7 |   5 |  __ |     __ |      __ |       __ | 
 815 | 0.958 | 0.288 | 0.001 | 10.412 |   7 |   5 |  __ |     __ |      __ |       __ | 
 816 | 0.059 | 0.775 | 0.034 | 10.447 |   7 |   2 |   4 | 10.510 | 0.04254 | 10.55275 | 
 817 | 0.012 | 0.816 | 0.054 | 10.501 |   7 |   2 |   7 | 10.511 | 0.03392 | 10.54539 | 
 818 | 0.285 | 0.879 | 0.015 | 10.516 |   7 |   0 |   5 | 10.527 | 0.02141 | 10.54828 | 
 819 | 0.602 | 0.044 | 0.006 | 10.523 |   7 |   1 |   2 | 10.527 | 0.52231 | 11.04951 | 
 820 | 0.496 | 0.436 | 0.009 | 10.531 |   7 |   0 |   7 | 10.545 | 0.13821 | 10.68360 | 
 821 | 0.678 | 0.895 | 0.005 | 10.536 |   7 |   1 |   5 | 10.548 | 0.01851 | 10.56679 | 
 822 | 0.251 | 0.664 | 0.017 | 10.553 |   6 |   0 |   4 | 10.553 | 0.06826 | 10.62108 | 
 823 | 0.522 | 0.610 | 0.008 | 10.561 |   7 |   0 |   1 | 10.562 | 0.08234 | 10.64430 | 
 824 | 0.066 | 0.621 | 0.033 | 10.594 |   6 |   0 |   5 | 10.594 | 0.07943 | 10.67330 | 
 825 | 0.678 | 0.281 | 0.005 | 10.599 |   7 |   0 |   4 | 10.621 | 0.21150 | 10.83258 | 
 826 | 0.338 | 0.471 | 0.013 | 10.612 |   7 |   1 |   1 | 10.644 | 0.12538 | 10.76967 | 
 827 | 0.563 | 0.608 | 0.007 | 10.619 |   7 |   2 |   3 | 10.667 | 0.08281 | 10.74988 | 
 828 | 0.607 | 0.367 | 0.006 | 10.625 |   7 |   2 |   5 | 10.673 | 0.16693 | 10.84023 | 
 829 | 0.321 | 0.609 | 0.014 | 10.639 |   7 |   3 |   7 | 10.684 | 0.08272 | 10.76632 | 
 830 | 0.490 | 0.048 | 0.009 | 10.647 |   7 |   3 |   3 | 10.750 | 0.50586 | 11.25574 | 
 831 | 0.769 | 0.419 | 0.003 | 10.651 |   7 |   4 |   7 | 10.766 | 0.14501 | 10.91133 | 
 832 | 0.567 | 0.220 | 0.007 | 10.658 |   7 |   5 |  __ |     __ |      __ |       __ | 
 833 | 0.208 | 0.009 | 0.019 | 10.677 |   7 |   3 |   1 | 10.770 | 0.78617 | 11.55584 | 
 834 | 0.010 | 0.871 | 0.056 | 10.732 |   7 |   3 |   6 | 10.783 | 0.02303 | 10.80639 | 
 835 | 0.598 | 0.784 | 0.006 | 10.739 |   7 |   4 |   6 | 10.806 | 0.04061 | 10.84700 | 
 836 | 0.305 | 0.852 | 0.014 | 10.753 |   7 |   4 |   4 | 10.833 | 0.02677 | 10.85935 | 
 837 | 0.182 | 0.289 | 0.021 | 10.774 |   7 |   3 |   5 | 10.840 | 0.20669 | 11.04692 | 
 838 | 0.277 | 0.995 | 0.016 | 10.790 |   7 |   3 |   6 | 10.847 | 0.00089 | 10.84789 | 
 839 | 0.969 | 0.463 | 0.000 | 10.790 |   7 |   4 |   6 | 10.848 | 0.12832 | 10.97620 | 
 840 | 0.763 | 0.086 | 0.003 | 10.793 |   7 |   5 |  __ |     __ |      __ |       __ | 
 841 | 0.728 | 0.864 | 0.004 | 10.797 |   7 |   5 |  __ |     __ |      __ |       __ | 
 842 | 0.584 | 0.472 | 0.007 | 10.804 |   7 |   5 |  __ |     __ |      __ |       __ | 
 843 | 0.938 | 0.681 | 0.001 | 10.805 |   7 |   5 |  __ |     __ |      __ |       __ | 
 844 | 0.901 | 0.783 | 0.001 | 10.806 |   7 |   5 |  __ |     __ |      __ |       __ | 
 845 | 0.159 | 0.568 | 0.022 | 10.828 |   7 |   4 |   4 | 10.859 | 0.09413 | 10.95348 | 
 846 | 0.342 | 0.634 | 0.013 | 10.841 |   7 |   3 |   7 | 10.911 | 0.07599 | 10.98732 | 
 847 | 0.211 | 0.628 | 0.019 | 10.860 |   7 |   1 |   4 | 10.953 | 0.07749 | 11.03098 | 
 848 | 0.536 | 0.518 | 0.008 | 10.868 |   7 |   2 |   6 | 10.976 | 0.10971 | 11.08592 | 
 849 | 0.494 | 0.592 | 0.009 | 10.876 |   7 |   3 |   7 | 10.987 | 0.08750 | 11.07483 | 
 850 | 0.369 | 0.721 | 0.012 | 10.889 |   7 |   4 |   4 | 11.031 | 0.05448 | 11.08545 | 
 851 | 0.069 | 0.602 | 0.033 | 10.921 |   7 |   4 |   5 | 11.047 | 0.08462 | 11.13154 | 
 852 | 0.618 | 0.585 | 0.006 | 10.927 |   7 |   5 |  __ |     __ |      __ |       __ | 
 853 | 0.424 | 0.105 | 0.010 | 10.937 |   7 |   5 |  __ |     __ |      __ |       __ | 
 854 | 0.902 | 0.129 | 0.001 | 10.939 |   7 |   5 |  __ |     __ |      __ |       __ | 
 855 | 0.750 | 0.493 | 0.004 | 10.942 |   7 |   5 |  __ |     __ |      __ |       __ | 
 856 | 0.898 | 0.550 | 0.001 | 10.944 |   7 |   5 |  __ |     __ |      __ |       __ | 
 857 | 0.985 | 0.344 | 0.000 | 10.944 |   7 |   5 |  __ |     __ |      __ |       __ | 
 858 | 0.757 | 0.106 | 0.003 | 10.947 |   7 |   5 |  __ |     __ |      __ |       __ | 
 859 | 0.825 | 0.405 | 0.002 | 10.949 |   7 |   5 |  __ |     __ |      __ |       __ | 
 860 | 0.161 | 0.710 | 0.022 | 10.972 |   7 |   4 |   2 | 11.050 | 0.05718 | 11.10669 | 
 861 | 0.501 | 0.703 | 0.008 | 10.980 |   7 |   4 |   7 | 11.075 | 0.05882 | 11.13365 | 
 862 | 0.748 | 0.790 | 0.004 | 10.984 |   7 |   5 |  __ |     __ |      __ |       __ | 
 863 | 0.336 | 0.510 | 0.013 | 10.997 |   7 |   4 |   4 | 11.085 | 0.11231 | 11.19776 | 
 864 | 0.780 | 0.900 | 0.003 | 11.000 |   7 |   5 |  __ |     __ |      __ |       __ | 
 865 | 0.674 | 0.819 | 0.005 | 11.005 |   7 |   5 |  __ |     __ |      __ |       __ | 
 866 | 0.492 | 0.091 | 0.009 | 11.013 |   7 |   5 |  __ |     __ |      __ |       __ | 
 867 | 0.388 | 0.362 | 0.012 | 11.025 |   7 |   5 |  __ |     __ |      __ |       __ | 
 868 | 0.355 | 0.101 | 0.013 | 11.038 |   7 |   4 |   6 | 11.086 | 0.38173 | 11.46764 | 
 869 | 0.669 | 0.307 | 0.005 | 11.043 |   7 |   5 |  __ |     __ |      __ |       __ | 
 870 | 0.174 | 0.805 | 0.021 | 11.064 |   7 |   3 |   2 | 11.107 | 0.03610 | 11.14279 | 
 871 | 0.655 | 0.042 | 0.005 | 11.069 |   7 |   4 |   5 | 11.132 | 0.52657 | 11.65811 | 
 872 | 0.850 | 0.780 | 0.002 | 11.071 |   7 |   5 |  __ |     __ |      __ |       __ | 
 873 | 0.395 | 0.943 | 0.011 | 11.082 |   7 |   4 |   7 | 11.134 | 0.00974 | 11.14339 | 
 874 | 0.620 | 0.046 | 0.006 | 11.088 |   7 |   3 |   2 | 11.143 | 0.51433 | 11.65712 | 
 875 | 0.468 | 0.099 | 0.009 | 11.097 |   7 |   4 |   7 | 11.143 | 0.38621 | 11.52960 | 
 876 | 0.621 | 0.957 | 0.006 | 11.103 |   7 |   5 |  __ |     __ |      __ |       __ | 
 877 | 0.116 | 0.633 | 0.026 | 11.130 |   7 |   4 |   4 | 11.198 | 0.07612 | 11.27388 | 
 878 | 0.607 | 0.916 | 0.006 | 11.136 |   7 |   3 |   3 | 11.256 | 0.01469 | 11.27042 | 
 879 | 0.135 | 0.695 | 0.024 | 11.160 |   7 |   2 |   3 | 11.270 | 0.06061 | 11.33104 | 
 880 | 0.258 | 0.852 | 0.017 | 11.177 |   7 |   3 |   4 | 11.274 | 0.02676 | 11.30064 | 
 881 | 0.459 | 0.769 | 0.009 | 11.186 |   7 |   4 |   4 | 11.301 | 0.04377 | 11.34441 | 
 882 | 0.065 | 0.360 | 0.033 | 11.219 |   7 |   4 |   3 | 11.331 | 0.17040 | 11.50144 | 
 883 | 0.307 | 0.220 | 0.014 | 11.234 |   7 |   5 |  __ |     __ |      __ |       __ | 
 884 | 0.998 | 0.741 | 0.000 | 11.234 |   7 |   5 |  __ |     __ |      __ |       __ | 
 885 | 0.752 | 0.409 | 0.003 | 11.237 |   7 |   5 |  __ |     __ |      __ |       __ | 
 886 | 0.211 | 0.050 | 0.019 | 11.256 |   7 |   4 |   4 | 11.344 | 0.50045 | 11.84486 | 
 887 | 0.703 | 0.560 | 0.004 | 11.261 |   7 |   5 |  __ |     __ |      __ |       __ | 
 888 | 0.891 | 0.456 | 0.001 | 11.262 |   7 |   5 |  __ |     __ |      __ |       __ | 
 889 | 0.319 | 0.651 | 0.014 | 11.276 |   7 |   3 |   6 | 11.468 | 0.07159 | 11.53923 | 
 890 | 0.540 | 0.714 | 0.008 | 11.283 |   7 |   4 |   3 | 11.501 | 0.05608 | 11.55752 | 
 891 | 0.174 | 0.822 | 0.021 | 11.305 |   7 |   4 |   7 | 11.530 | 0.03263 | 11.56223 | 
 892 | 0.989 | 0.992 | 0.000 | 11.305 |   7 |   5 |  __ |     __ |      __ |       __ | 
 893 | 0.437 | 0.444 | 0.010 | 11.315 |   7 |   5 |  __ |     __ |      __ |       __ | 
 894 | 0.621 | 0.821 | 0.006 | 11.321 |   7 |   5 |  __ |     __ |      __ |       __ | 
 895 | 0.533 | 0.466 | 0.008 | 11.328 |   7 |   5 |  __ |     __ |      __ |       __ | 
 896 | 0.377 | 0.200 | 0.012 | 11.340 |   7 |   4 |   6 | 11.539 | 0.26800 | 11.80723 | 
 897 | 0.999 | 0.825 | 0.000 | 11.340 |   7 |   5 |  __ |     __ |      __ |       __ | 
 898 | 0.609 | 0.686 | 0.006 | 11.346 |   7 |   4 |   1 | 11.556 | 0.06279 | 11.61863 | 
 899 | 0.492 | 0.863 | 0.009 | 11.355 |   7 |   5 |  __ |     __ |      __ |       __ | 
 900 | 0.594 | 0.747 | 0.006 | 11.361 |   7 |   5 |  __ |     __ |      __ |       __ | 
 901 | 0.414 | 0.474 | 0.011 | 11.372 |   7 |   5 |  __ |     __ |      __ |       __ | 
 902 | 0.691 | 0.772 | 0.005 | 11.377 |   7 |   5 |  __ |     __ |      __ |       __ | 
 903 | 0.792 | 0.233 | 0.003 | 11.379 |   7 |   5 |  __ |     __ |      __ |       __ | 
 904 | 0.059 | 0.830 | 0.034 | 11.414 |   7 |   5 |  __ |     __ |      __ |       __ | 
 905 | 0.820 | 0.789 | 0.002 | 11.416 |   7 |   5 |  __ |     __ |      __ |       __ | 
 906 | 0.944 | 0.057 | 0.001 | 11.417 |   7 |   5 |  __ |     __ |      __ |       __ | 
 907 | 0.314 | 0.815 | 0.014 | 11.431 |   7 |   5 |  __ |     __ |      __ |       __ | 
 908 | 0.662 | 0.074 | 0.005 | 11.436 |   7 |   5 |  __ |     __ |      __ |       __ | 
 909 | 0.784 | 0.591 | 0.003 | 11.439 |   7 |   5 |  __ |     __ |      __ |       __ | 
 910 | 0.248 | 0.372 | 0.017 | 11.456 |   7 |   5 |  __ |     __ |      __ |       __ | 
 911 | 0.396 | 0.917 | 0.011 | 11.467 |   7 |   5 |  __ |     __ |      __ |       __ | 
 912 | 0.093 | 0.298 | 0.029 | 11.496 |   7 |   4 |   3 | 11.558 | 0.20167 | 11.75919 | 
 913 | 0.989 | 0.967 | 0.000 | 11.497 |   7 |   5 |  __ |     __ |      __ |       __ | 
 914 | 0.932 | 0.188 | 0.001 | 11.497 |   7 |   5 |  __ |     __ |      __ |       __ | 
 915 | 0.569 | 0.269 | 0.007 | 11.504 |   7 |   4 |   7 | 11.562 | 0.21902 | 11.78124 | 
 916 | 0.251 | 0.758 | 0.017 | 11.521 |   7 |   5 |  __ |     __ |      __ |       __ | 
 917 | 0.815 | 0.412 | 0.002 | 11.524 |   7 |   5 |  __ |     __ |      __ |       __ | 
 918 | 0.854 | 0.047 | 0.002 | 11.526 |   7 |   5 |  __ |     __ |      __ |       __ | 
 919 | 0.755 | 0.937 | 0.003 | 11.529 |   7 |   5 |  __ |     __ |      __ |       __ | 
 920 | 0.848 | 0.074 | 0.002 | 11.531 |   7 |   4 |   1 | 11.619 | 0.43284 | 12.05147 | 
 921 | 0.466 | 0.699 | 0.009 | 11.540 |   7 |   4 |   2 | 11.657 | 0.05978 | 11.71690 | 
 922 | 0.691 | 0.912 | 0.005 | 11.545 |   7 |   5 |  __ |     __ |      __ |       __ | 
 923 | 0.682 | 0.018 | 0.005 | 11.549 |   7 |   5 |  __ |     __ |      __ |       __ | 
 924 | 0.490 | 0.124 | 0.009 | 11.558 |   7 |   3 |   5 | 11.658 | 0.34800 | 12.00611 | 
 925 | 0.779 | 0.978 | 0.003 | 11.561 |   7 |   4 |   2 | 11.717 | 0.00370 | 11.72060 | 
 926 | 0.022 | 0.231 | 0.046 | 11.607 |   7 |   4 |   2 | 11.721 | 0.24458 | 11.96518 | 
 927 | 0.526 | 0.954 | 0.008 | 11.615 |   7 |   5 |  __ |     __ |      __ |       __ | 
 928 | 0.551 | 0.015 | 0.007 | 11.623 |   7 |   4 |   3 | 11.759 | 0.69676 | 12.45595 | 
 929 | 0.586 | 0.212 | 0.007 | 11.629 |   7 |   5 |  __ |     __ |      __ |       __ | 
 930 | 0.741 | 0.855 | 0.004 | 11.633 |   7 |   5 |  __ |     __ |      __ |       __ | 
 931 | 1.000 | 0.672 | 0.000 | 11.633 |   7 |   5 |  __ |     __ |      __ |       __ | 
 932 | 0.365 | 0.763 | 0.012 | 11.645 |   7 |   5 |  __ |     __ |      __ |       __ | 
 933 | 0.468 | 0.350 | 0.009 | 11.654 |   7 |   5 |  __ |     __ |      __ |       __ | 
 934 | 0.496 | 0.133 | 0.009 | 11.663 |   7 |   3 |   7 | 11.781 | 0.33604 | 12.11729 | 
 935 | 0.363 | 0.862 | 0.012 | 11.675 |   7 |   4 |   6 | 11.807 | 0.02475 | 11.83198 | 
 936 | 0.769 | 0.040 | 0.003 | 11.678 |   7 |   5 |  __ |     __ |      __ |       __ | 
 937 | 0.727 | 0.261 | 0.004 | 11.682 |   7 |   5 |  __ |     __ |      __ |       __ | 
 938 | 0.755 | 0.817 | 0.003 | 11.686 |   7 |   5 |  __ |     __ |      __ |       __ | 
 939 | 0.318 | 0.199 | 0.014 | 11.700 |   7 |   5 |  __ |     __ |      __ |       __ | 
 940 | 0.082 | 0.715 | 0.030 | 11.730 |   7 |   3 |   6 | 11.832 | 0.05599 | 11.88797 | 
 941 | 0.386 | 0.413 | 0.012 | 11.742 |   7 |   4 |   4 | 11.845 | 0.14758 | 11.99243 | 
 942 | 0.983 | 0.993 | 0.000 | 11.742 |   7 |   5 |  __ |     __ |      __ |       __ | 
 943 | 0.337 | 0.703 | 0.013 | 11.755 |   7 |   5 |  __ |     __ |      __ |       __ | 
 944 | 0.032 | 0.213 | 0.042 | 11.797 |   7 |   3 |   6 | 11.888 | 0.25756 | 12.14553 | 
 945 | 0.191 | 0.300 | 0.020 | 11.818 |   7 |   3 |   2 | 11.965 | 0.20058 | 12.16576 | 
 946 | 0.310 | 0.640 | 0.014 | 11.832 |   7 |   4 |   4 | 11.992 | 0.07430 | 12.06673 | 
 947 | 0.311 | 0.881 | 0.014 | 11.846 |   7 |   3 |   5 | 12.006 | 0.02120 | 12.02731 | 
 948 | 0.017 | 0.570 | 0.050 | 11.896 |   7 |   3 |   5 | 12.027 | 0.09363 | 12.12095 | 
 949 | 0.858 | 0.627 | 0.002 | 11.898 |   7 |   4 |   1 | 12.051 | 0.07783 | 12.12930 | 
 950 | 0.995 | 0.366 | 0.000 | 11.898 |   7 |   5 |  __ |     __ |      __ |       __ | 
 951 | 0.676 | 0.744 | 0.005 | 11.903 |   7 |   5 |  __ |     __ |      __ |       __ | 
