   i |     r |     q |    dt |   t_pr |   n |   m |   N |   t_no |   t_obs |     t_ko | 
  98 | 0.423 | 0.586 | 0.010 |  1.321 |   8 |   1 |   7 |  1.390 | 0.08899 |  1.47913 | 
  99 | 0.408 | 0.181 | 0.011 |  1.332 |   8 |   2 |   3 |  1.420 | 0.28453 |  1.70426 | 
 100 | 0.774 | 0.289 | 0.003 |  1.335 |   8 |   3 |   2 |  1.423 | 0.20662 |  1.62960 | 
 101 | 0.400 | 0.090 | 0.011 |  1.347 |   8 |   4 |   1 |  1.464 | 0.40042 |  1.86491 | 
 102 | 0.559 | 0.712 | 0.007 |  1.354 |   8 |   5 |  __ |     __ |      __ |       __ | 
 103 | 0.447 | 0.956 | 0.010 |  1.364 |   8 |   5 |  __ |     __ |      __ |       __ | 
 104 | 0.301 | 0.146 | 0.015 |  1.378 |   8 |   5 |  __ |     __ |      __ |       __ | 
 105 | 0.335 | 0.488 | 0.013 |  1.392 |   8 |   3 |   6 |  1.469 | 0.11963 |  1.58871 | 
 106 | 0.989 | 0.364 | 0.000 |  1.392 |   8 |   4 |   5 |  1.472 | 0.16832 |  1.64071 | 
 107 | 0.743 | 0.440 | 0.004 |  1.395 |   8 |   5 |  __ |     __ |      __ |       __ | 
 108 | 0.585 | 0.066 | 0.007 |  1.402 |   8 |   5 |  __ |     __ |      __ |       __ | 
 109 | 0.121 | 0.918 | 0.026 |  1.428 |   8 |   3 |   4 |  1.477 | 0.01419 |  1.49094 | 
 110 | 0.366 | 0.827 | 0.012 |  1.440 |   8 |   4 |   7 |  1.479 | 0.03173 |  1.51086 | 
 111 | 0.932 | 0.778 | 0.001 |  1.441 |   8 |   5 |  __ |     __ |      __ |       __ | 
 112 | 0.566 | 0.152 | 0.007 |  1.448 |   8 |   5 |  __ |     __ |      __ |       __ | 
 113 | 0.738 | 0.650 | 0.004 |  1.451 |   8 |   5 |  __ |     __ |      __ |       __ | 
 114 | 0.208 | 0.851 | 0.019 |  1.470 |   8 |   3 |   4 |  1.491 | 0.02684 |  1.51778 | 
 115 | 0.001 | 0.781 | 0.085 |  1.555 |   6 |   0 |   4 |  1.555 | 0.04113 |  1.59655 | 
 116 | 0.377 | 0.934 | 0.012 |  1.567 |   7 |   0 |   7 |  1.567 | 0.01146 |  1.57876 | 
 117 | 0.714 | 0.416 | 0.004 |  1.571 |   8 |   0 |   7 |  1.579 | 0.14603 |  1.72480 | 
 118 | 0.324 | 0.294 | 0.014 |  1.585 |   8 |   0 |   6 |  1.589 | 0.20397 |  1.79268 | 
 119 | 0.248 | 0.445 | 0.017 |  1.602 |   6 |   0 |   4 |  1.602 | 0.13513 |  1.73731 | 
 120 | 0.859 | 0.186 | 0.002 |  1.604 |   7 |   0 |   8 |  1.604 | 0.28027 |  1.88429 | 
 121 | 0.729 | 0.182 | 0.004 |  1.608 |   8 |   0 |   2 |  1.630 | 0.28358 |  1.91319 | 
 122 | 0.535 | 0.975 | 0.008 |  1.615 |   8 |   1 |   5 |  1.641 | 0.00414 |  1.64485 | 
 123 | 0.851 | 0.823 | 0.002 |  1.617 |   8 |   2 |   5 |  1.645 | 0.03238 |  1.67724 | 
 124 | 0.454 | 0.525 | 0.010 |  1.627 |   8 |   3 |   5 |  1.677 | 0.10735 |  1.78459 | 
 125 | 0.354 | 0.152 | 0.013 |  1.640 |   8 |   3 |   3 |  1.704 | 0.31430 |  2.01856 | 
 126 | 0.426 | 0.962 | 0.010 |  1.650 |   8 |   2 |   7 |  1.725 | 0.00642 |  1.73122 | 
 127 | 0.543 | 0.756 | 0.007 |  1.658 |   8 |   3 |   7 |  1.731 | 0.04665 |  1.77787 | 
 128 | 0.225 | 0.382 | 0.018 |  1.676 |   8 |   4 |   4 |  1.737 | 0.16020 |  1.89751 | 
 129 | 0.635 | 0.631 | 0.006 |  1.681 |   8 |   4 |   7 |  1.778 | 0.07665 |  1.85452 | 
 130 | 0.454 | 0.327 | 0.010 |  1.691 |   8 |   5 |  __ |     __ |      __ |       __ | 
 131 | 0.658 | 0.578 | 0.005 |  1.696 |   8 |   5 |  __ |     __ |      __ |       __ | 
 132 | 0.257 | 0.297 | 0.017 |  1.713 |   8 |   4 |   5 |  1.785 | 0.20245 |  1.98704 | 
 133 | 0.524 | 0.238 | 0.008 |  1.721 |   8 |   5 |  __ |     __ |      __ |       __ | 
 134 | 0.404 | 0.036 | 0.011 |  1.732 |   8 |   3 |   6 |  1.793 | 0.55555 |  2.34823 | 
 135 | 0.410 | 0.787 | 0.011 |  1.742 |   8 |   3 |   7 |  1.855 | 0.03983 |  1.89435 | 
 136 | 0.414 | 0.553 | 0.011 |  1.753 |   8 |   4 |   1 |  1.865 | 0.09884 |  1.96375 | 
 137 | 0.194 | 0.758 | 0.020 |  1.773 |   8 |   5 |  __ |     __ |      __ |       __ | 
 138 | 0.611 | 0.612 | 0.006 |  1.779 |   8 |   4 |   8 |  1.884 | 0.08171 |  1.96600 | 
 139 | 0.150 | 0.705 | 0.023 |  1.802 |   8 |   3 |   7 |  1.894 | 0.05827 |  1.95263 | 
 140 | 0.433 | 0.311 | 0.010 |  1.813 |   8 |   4 |   4 |  1.898 | 0.19462 |  2.09213 | 
 141 | 0.257 | 0.379 | 0.017 |  1.829 |   8 |   5 |  __ |     __ |      __ |       __ | 
 142 | 0.344 | 0.663 | 0.013 |  1.842 |   8 |   5 |  __ |     __ |      __ |       __ | 
 143 | 0.560 | 0.367 | 0.007 |  1.849 |   8 |   5 |  __ |     __ |      __ |       __ | 
 144 | 0.708 | 0.043 | 0.004 |  1.853 |   8 |   5 |  __ |     __ |      __ |       __ | 
 145 | 0.811 | 0.166 | 0.003 |  1.856 |   8 |   4 |   2 |  1.913 | 0.29930 |  2.21249 | 
 146 | 0.836 | 0.459 | 0.002 |  1.858 |   8 |   5 |  __ |     __ |      __ |       __ | 
 147 | 0.168 | 0.912 | 0.022 |  1.880 |   8 |   4 |   7 |  1.953 | 0.01533 |  1.96796 | 
 148 | 0.744 | 0.922 | 0.004 |  1.883 |   8 |   5 |  __ |     __ |      __ |       __ | 
 149 | 0.439 | 0.539 | 0.010 |  1.894 |   8 |   4 |   1 |  1.964 | 0.10288 |  2.06663 | 
 150 | 0.504 | 0.159 | 0.008 |  1.902 |   8 |   3 |   8 |  1.966 | 0.30625 |  2.27225 | 
 151 | 0.794 | 0.348 | 0.003 |  1.905 |   8 |   4 |   7 |  1.968 | 0.17613 |  2.14409 | 
 152 | 0.464 | 0.750 | 0.009 |  1.914 |   8 |   4 |   5 |  1.987 | 0.04800 |  2.03504 | 
 153 | 0.783 | 0.627 | 0.003 |  1.917 |   8 |   5 |  __ |     __ |      __ |       __ | 
 154 | 0.619 | 0.919 | 0.006 |  1.923 |   8 |   5 |  __ |     __ |      __ |       __ | 
 155 | 0.072 | 0.058 | 0.032 |  1.955 |   8 |   4 |   3 |  2.019 | 0.47398 |  2.49254 | 
 156 | 0.035 | 0.591 | 0.041 |  1.996 |   8 |   1 |   5 |  2.035 | 0.08764 |  2.12269 | 
 157 | 0.290 | 0.893 | 0.015 |  2.011 |   8 |   2 |   1 |  2.067 | 0.01878 |  2.08541 | 
 158 | 0.300 | 0.637 | 0.015 |  2.026 |   8 |   2 |   1 |  2.085 | 0.07511 |  2.16052 | 
 159 | 0.683 | 0.052 | 0.005 |  2.030 |   8 |   3 |   4 |  2.092 | 0.49128 |  2.58341 | 
 160 | 0.765 | 0.732 | 0.003 |  2.034 |   8 |   4 |   5 |  2.123 | 0.05201 |  2.17470 | 
 161 | 0.943 | 0.300 | 0.001 |  2.034 |   8 |   5 |  __ |     __ |      __ |       __ | 
 162 | 0.918 | 0.494 | 0.001 |  2.035 |   8 |   4 |   7 |  2.144 | 0.11737 |  2.26146 | 
 163 | 0.934 | 0.327 | 0.001 |  2.036 |   8 |   5 |  __ |     __ |      __ |       __ | 
 164 | 0.795 | 0.602 | 0.003 |  2.039 |   8 |   5 |  __ |     __ |      __ |       __ | 
 165 | 0.710 | 0.983 | 0.004 |  2.043 |   8 |   5 |  __ |     __ |      __ |       __ | 
 166 | 0.172 | 0.426 | 0.021 |  2.065 |   8 |   5 |  __ |     __ |      __ |       __ | 
 167 | 0.135 | 0.964 | 0.024 |  2.089 |   8 |   3 |   1 |  2.161 | 0.00618 |  2.16670 | 
 168 | 0.931 | 0.596 | 0.001 |  2.090 |   8 |   4 |   1 |  2.167 | 0.08630 |  2.25300 | 
 169 | 0.653 | 0.485 | 0.005 |  2.095 |   8 |   4 |   5 |  2.175 | 0.12076 |  2.29546 | 
 170 | 0.496 | 0.228 | 0.009 |  2.104 |   8 |   5 |  __ |     __ |      __ |       __ | 
 171 | 0.111 | 0.871 | 0.027 |  2.131 |   8 |   4 |   2 |  2.212 | 0.02299 |  2.23548 | 
 172 | 0.594 | 0.220 | 0.006 |  2.137 |   8 |   5 |  __ |     __ |      __ |       __ | 
 173 | 0.941 | 0.970 | 0.001 |  2.138 |   8 |   5 |  __ |     __ |      __ |       __ | 
 174 | 0.225 | 0.192 | 0.018 |  2.156 |   8 |   4 |   2 |  2.235 | 0.27547 |  2.51096 | 
 175 | 0.924 | 0.020 | 0.001 |  2.157 |   8 |   5 |  __ |     __ |      __ |       __ | 
 176 | 0.465 | 0.820 | 0.009 |  2.166 |   8 |   4 |   1 |  2.253 | 0.03315 |  2.28615 | 
 177 | 0.977 | 0.491 | 0.000 |  2.166 |   8 |   5 |  __ |     __ |      __ |       __ | 
 178 | 0.936 | 0.545 | 0.001 |  2.167 |   8 |   4 |   7 |  2.261 | 0.10121 |  2.36267 | 
 179 | 0.174 | 0.939 | 0.021 |  2.189 |   8 |   4 |   8 |  2.272 | 0.01057 |  2.28282 | 
 180 | 0.630 | 0.441 | 0.006 |  2.194 |   8 |   5 |  __ |     __ |      __ |       __ | 
 181 | 0.115 | 0.518 | 0.026 |  2.221 |   8 |   4 |   8 |  2.283 | 0.10977 |  2.39259 | 
 182 | 0.043 | 0.122 | 0.038 |  2.259 |   8 |   3 |   1 |  2.286 | 0.35065 |  2.63680 | 
 183 | 0.321 | 0.654 | 0.014 |  2.273 |   8 |   2 |   5 |  2.295 | 0.07086 |  2.36631 | 
 184 | 0.855 | 0.781 | 0.002 |  2.275 |   8 |   3 |   6 |  2.348 | 0.04112 |  2.38935 | 
 185 | 0.804 | 0.151 | 0.003 |  2.277 |   8 |   4 |   7 |  2.363 | 0.31484 |  2.67751 | 
 186 | 0.227 | 0.444 | 0.018 |  2.296 |   8 |   2 |   5 |  2.366 | 0.13548 |  2.50179 | 
 187 | 0.175 | 0.336 | 0.021 |  2.317 |   8 |   3 |   6 |  2.389 | 0.18188 |  2.57122 | 
 188 | 0.666 | 0.260 | 0.005 |  2.322 |   8 |   4 |   8 |  2.393 | 0.22479 |  2.61739 | 
 189 | 0.178 | 0.032 | 0.021 |  2.343 |   8 |   5 |  __ |     __ |      __ |       __ | 
 190 | 0.066 | 0.059 | 0.033 |  2.376 |   8 |   2 |   3 |  2.493 | 0.47155 |  2.96409 | 
 191 | 0.158 | 0.197 | 0.022 |  2.398 |   8 |   1 |   5 |  2.502 | 0.27035 |  2.77214 | 
 192 | 0.492 | 0.088 | 0.009 |  2.407 |   8 |   2 |   2 |  2.511 | 0.40475 |  2.91571 | 
 193 | 0.566 | 0.611 | 0.007 |  2.414 |   8 |   3 |   6 |  2.571 | 0.08216 |  2.65338 | 
 194 | 0.989 | 0.296 | 0.000 |  2.414 |   8 |   4 |   4 |  2.583 | 0.20273 |  2.78614 | 
 195 | 0.859 | 0.974 | 0.002 |  2.416 |   8 |   5 |  __ |     __ |      __ |       __ | 
 196 | 0.455 | 0.175 | 0.010 |  2.426 |   8 |   5 |  __ |     __ |      __ |       __ | 
 197 | 0.622 | 0.587 | 0.006 |  2.431 |   8 |   5 |  __ |     __ |      __ |       __ | 
 198 | 0.813 | 0.645 | 0.003 |  2.434 |   8 |   5 |  __ |     __ |      __ |       __ | 
 199 | 0.001 | 0.761 | 0.080 |  2.514 |   8 |   2 |   8 |  2.617 | 0.04544 |  2.66283 | 
 200 | 0.994 | 0.061 | 0.000 |  2.514 |   8 |   3 |   1 |  2.637 | 0.46663 |  3.10343 | 
 201 | 0.437 | 0.150 | 0.010 |  2.524 |   8 |   4 |   6 |  2.653 | 0.31673 |  2.97011 | 
 202 | 0.507 | 0.612 | 0.008 |  2.532 |   8 |   5 |  __ |     __ |      __ |       __ | 
