 i |     r |     q |    dt |  t_pr |   n |   m |   N |  t_no |   t_obs |    t_ko | 
721 | 0.678 | 0.623 | 0.005 | 9.035 |   7 |   5 |  __ |  __ |  __ |  __ | 
722 | 0.877 | 0.010 | 0.002 | 9.037 |   7 |   5 |  __ |  __ |  __ |  __ | 
723 | 0.830 | 0.990 | 0.002 | 9.039 |   7 |   5 |  __ |  __ |  __ |  __ | 
724 | 0.185 | 0.932 | 0.021 | 9.060 |   7 |   4 |   7 | 9.194 | 0.01180 | 9.20572 | 
725 | 0.708 | 0.624 | 0.004 | 9.064 |   7 |   5 |  __ |  __ |  __ |  __ | 
726 | 0.241 | 0.855 | 0.017 | 9.081 |   7 |   4 |   7 | 9.206 | 0.02614 | 9.23186 | 
727 | 0.621 | 0.570 | 0.006 | 9.087 |   7 |   5 |  __ |  __ |  __ |  __ | 
728 | 0.231 | 0.500 | 0.018 | 9.105 |   7 |   5 |  __ |  __ |  __ |  __ | 
729 | 0.066 | 0.076 | 0.033 | 9.138 |   7 |   5 |  __ |  __ |  __ |  __ | 
730 | 0.553 | 0.444 | 0.007 | 9.145 |   7 |   4 |   6 | 9.207 | 0.13527 | 9.34230 | 
731 | 0.280 | 0.795 | 0.016 | 9.161 |   7 |   4 |   1 | 9.216 | 0.03832 | 9.25398 | 
732 | 0.666 | 0.623 | 0.005 | 9.166 |   7 |   5 |  __ |  __ |  __ |  __ | 
733 | 0.435 | 0.854 | 0.010 | 9.176 |   7 |   5 |  __ |  __ |  __ |  __ | 
734 | 0.352 | 0.362 | 0.013 | 9.189 |   7 |   4 |   7 | 9.232 | 0.16930 | 9.40116 | 
735 | 0.687 | 0.064 | 0.005 | 9.193 |   7 |   5 |  __ |  __ |  __ |  __ | 
736 | 0.346 | 0.705 | 0.013 | 9.206 |   7 |   3 |   1 | 9.254 | 0.05829 | 9.31227 | 
737 | 0.138 | 0.532 | 0.024 | 9.230 |   7 |   2 |   5 | 9.286 | 0.10533 | 9.39117 | 
738 | 0.576 | 0.204 | 0.007 | 9.237 |   7 |   2 |   2 | 9.298 | 0.26498 | 9.56335 | 
739 | 0.545 | 0.664 | 0.007 | 9.245 |   7 |   3 |   1 | 9.312 | 0.06823 | 9.38050 | 
740 | 0.580 | 0.182 | 0.007 | 9.251 |   7 |   4 |   3 | 9.319 | 0.28381 | 9.60259 | 
741 | 0.695 | 0.087 | 0.004 | 9.256 |   7 |   4 |   6 | 9.342 | 0.40731 | 9.74961 | 
742 | 0.126 | 0.654 | 0.025 | 9.281 |   7 |   5 |  __ |  __ |  __ |  __ | 
743 | 0.735 | 0.760 | 0.004 | 9.285 |   7 |   5 |  __ |  __ |  __ |  __ | 
744 | 0.738 | 0.920 | 0.004 | 9.288 |   7 |   4 |   4 | 9.358 | 0.01382 | 9.37195 | 
745 | 0.753 | 0.113 | 0.003 | 9.292 |   7 |   5 |  __ |  __ |  __ |  __ | 
746 | 0.440 | 0.361 | 0.010 | 9.302 |   7 |   4 |   4 | 9.372 | 0.16970 | 9.54165 | 
747 | 0.513 | 0.652 | 0.008 | 9.310 |   7 |   5 |  __ |  __ |  __ |  __ | 
748 | 0.869 | 0.469 | 0.002 | 9.312 |   7 |   5 |  __ |  __ |  __ |  __ | 
749 | 0.947 | 0.265 | 0.001 | 9.312 |   7 |   4 |   1 | 9.380 | 0.22123 | 9.60173 | 
750 | 0.692 | 0.898 | 0.004 | 9.317 |   7 |   5 |  __ |  __ |  __ |  __ | 
751 | 0.201 | 0.717 | 0.020 | 9.336 |   7 |   4 |   5 | 9.391 | 0.05540 | 9.44657 | 
752 | 0.970 | 0.085 | 0.000 | 9.337 |   7 |   5 |  __ |  __ |  __ |  __ | 
753 | 0.293 | 0.495 | 0.015 | 9.352 |   7 |   4 |   7 | 9.401 | 0.11712 | 9.51829 | 
754 | 0.053 | 0.803 | 0.036 | 9.387 |   7 |   2 |   5 | 9.447 | 0.03666 | 9.48323 | 
755 | 0.553 | 0.349 | 0.007 | 9.395 |   7 |   2 |   5 | 9.483 | 0.17546 | 9.65868 | 
756 | 0.721 | 0.615 | 0.004 | 9.399 |   7 |   3 |   7 | 9.518 | 0.08103 | 9.59932 | 
757 | 0.167 | 0.020 | 0.022 | 9.421 |   7 |   3 |   4 | 9.542 | 0.65311 | 10.19476 | 
758 | 0.683 | 0.712 | 0.005 | 9.425 |   7 |   4 |   2 | 9.563 | 0.05672 | 9.62008 | 
759 | 0.107 | 0.129 | 0.027 | 9.452 |   7 |   4 |   7 | 9.599 | 0.34101 | 9.94032 | 
760 | 0.343 | 0.718 | 0.013 | 9.465 |   7 |   5 |  __ |  __ |  __ |  __ | 
761 | 0.187 | 0.074 | 0.020 | 9.486 |   7 |   4 |   1 | 9.602 | 0.43490 | 10.03662 | 
762 | 0.304 | 0.620 | 0.015 | 9.500 |   7 |   5 |  __ |  __ |  __ |  __ | 
763 | 0.379 | 0.864 | 0.012 | 9.512 |   7 |   5 |  __ |  __ |  __ |  __ | 
764 | 0.878 | 0.789 | 0.002 | 9.514 |   7 |   5 |  __ |  __ |  __ |  __ | 
765 | 0.898 | 0.674 | 0.001 | 9.515 |   7 |   5 |  __ |  __ |  __ |  __ | 
766 | 0.503 | 0.203 | 0.008 | 9.524 |   7 |   4 |   3 | 9.603 | 0.26588 | 9.86846 | 
767 | 0.182 | 0.079 | 0.021 | 9.544 |   7 |   4 |   2 | 9.620 | 0.42367 | 10.04375 | 
768 | 0.498 | 0.958 | 0.009 | 9.553 |   7 |   5 |  __ |  __ |  __ |  __ | 
769 | 0.538 | 0.068 | 0.008 | 9.560 |   7 |   5 |  __ |  __ |  __ |  __ | 
770 | 0.661 | 0.797 | 0.005 | 9.565 |   7 |   4 |   5 | 9.659 | 0.03787 | 9.69655 | 
771 | 0.205 | 0.810 | 0.019 | 9.585 |   7 |   5 |  __ |  __ |  __ |  __ | 
772 | 0.356 | 0.068 | 0.013 | 9.597 |   7 |   5 |  __ |  __ |  __ |  __ | 
773 | 0.518 | 0.510 | 0.008 | 9.605 |   7 |   2 |   5 | 9.697 | 0.11227 | 9.80882 | 
774 | 0.632 | 0.923 | 0.006 | 9.611 |   7 |   3 |   6 | 9.750 | 0.01328 | 9.76289 | 
775 | 0.265 | 0.027 | 0.016 | 9.627 |   7 |   3 |   6 | 9.763 | 0.60345 | 10.36634 | 
776 | 0.922 | 0.822 | 0.001 | 9.628 |   7 |   4 |   5 | 9.809 | 0.03269 | 9.84151 | 
777 | 0.163 | 0.373 | 0.022 | 9.650 |   7 |   5 |  __ |  __ |  __ |  __ | 
778 | 0.172 | 0.523 | 0.021 | 9.672 |   7 |   4 |   5 | 9.842 | 0.10799 | 9.94950 | 
779 | 0.108 | 0.654 | 0.027 | 9.699 |   7 |   4 |   3 | 9.868 | 0.07086 | 9.93932 | 
780 | 0.467 | 0.379 | 0.009 | 9.708 |   7 |   5 |  __ |  __ |  __ |  __ | 
781 | 0.549 | 0.925 | 0.007 | 9.715 |   7 |   5 |  __ |  __ |  __ |  __ | 
782 | 0.878 | 0.444 | 0.002 | 9.717 |   7 |   5 |  __ |  __ |  __ |  __ | 
783 | 0.091 | 0.690 | 0.029 | 9.746 |   7 |   5 |  __ |  __ |  __ |  __ | 
784 | 0.819 | 0.040 | 0.002 | 9.749 |   7 |   5 |  __ |  __ |  __ |  __ | 
785 | 0.524 | 0.889 | 0.008 | 9.757 |   7 |   4 |   3 | 9.939 | 0.01963 | 9.95895 | 
786 | 0.334 | 0.755 | 0.013 | 9.770 |   7 |   4 |   7 | 9.940 | 0.04688 | 9.98720 | 
787 | 0.820 | 0.853 | 0.002 | 9.772 |   7 |   5 |  __ |  __ |  __ |  __ | 
788 | 0.402 | 0.807 | 0.011 | 9.784 |   7 |   5 |  __ |  __ |  __ |  __ | 
789 | 0.544 | 0.125 | 0.007 | 9.791 |   7 |   5 |  __ |  __ |  __ |  __ | 
790 | 0.648 | 0.162 | 0.005 | 9.796 |   7 |   5 |  __ |  __ |  __ |  __ | 
791 | 0.072 | 0.880 | 0.032 | 9.828 |   7 |   4 |   5 | 9.950 | 0.02133 | 9.97083 | 
792 | 0.838 | 0.237 | 0.002 | 9.830 |   7 |   5 |  __ |  __ |  __ |  __ | 
793 | 0.138 | 0.619 | 0.024 | 9.855 |   7 |   4 |   3 | 9.959 | 0.07991 | 10.03885 | 
794 | 0.843 | 0.188 | 0.002 | 9.857 |   7 |   5 |  __ |  __ |  __ |  __ | 
795 | 0.939 | 0.816 | 0.001 | 9.857 |   7 |   5 |  __ |  __ |  __ |  __ | 
796 | 0.818 | 0.847 | 0.002 | 9.860 |   7 |   5 |  __ |  __ |  __ |  __ | 
797 | 0.857 | 0.929 | 0.002 | 9.862 |   7 |   5 |  __ |  __ |  __ |  __ | 
798 | 0.226 | 0.659 | 0.018 | 9.880 |   7 |   4 |   5 | 9.971 | 0.06945 | 10.04028 | 
799 | 0.653 | 0.844 | 0.005 | 9.885 |   7 |   5 |  __ |  __ |  __ |  __ | 
800 | 0.391 | 0.485 | 0.011 | 9.897 |   7 |   5 |  __ |  __ |  __ |  __ | 
801 | 0.299 | 0.549 | 0.015 | 9.911 |   7 |   5 |  __ |  __ |  __ |  __ | 
802 | 0.656 | 0.776 | 0.005 | 9.916 |   7 |   5 |  __ |  __ |  __ |  __ | 
803 | 0.935 | 0.651 | 0.001 | 9.917 |   7 |   5 |  __ |  __ |  __ |  __ | 
804 | 0.751 | 0.344 | 0.003 | 9.921 |   7 |   5 |  __ |  __ |  __ |  __ | 
805 | 1.000 | 0.385 | 0.000 | 9.921 |   7 |   5 |  __ |  __ |  __ |  __ | 
806 | 0.337 | 0.044 | 0.013 | 9.934 |   7 |   5 |  __ |  __ |  __ |  __ | 
807 | 0.307 | 0.947 | 0.014 | 9.948 |   7 |   3 |   7 | 9.987 | 0.00912 | 9.99632 | 
808 | 0.999 | 0.753 | 0.000 | 9.948 |   7 |   4 |   7 | 9.996 | 0.04723 | 10.04355 | 
809 | 0.765 | 0.879 | 0.003 | 9.952 |   7 |   4 |   1 | 10.037 | 0.02153 | 10.05815 | 
810 | 0.818 | 0.614 | 0.002 | 9.954 |   7 |   5 |  __ |  __ |  __ |  __ | 
811 | 0.721 | 0.446 | 0.004 | 9.958 |   7 |   5 |  __ |  __ |  __ |  __ | 
812 | 0.531 | 0.699 | 0.008 | 9.966 |   7 |   4 |   3 | 10.039 | 0.05958 | 10.09843 | 
813 | 0.499 | 0.345 | 0.008 | 9.974 |   7 |   4 |   5 | 10.040 | 0.17739 | 10.21767 | 
814 | 0.872 | 0.703 | 0.002 | 9.976 |   7 |   5 |  __ |  __ |  __ |  __ | 
815 | 0.225 | 0.143 | 0.018 | 9.994 |   7 |   4 |   7 | 10.044 | 0.32410 | 10.36765 | 
816 | 0.372 | 0.466 | 0.012 | 10.006 |   7 |   4 |   2 | 10.044 | 0.12718 | 10.17092 | 
817 | 0.512 | 0.370 | 0.008 | 10.014 |   7 |   5 |  __ |  __ |  __ |  __ | 
818 | 0.848 | 0.148 | 0.002 | 10.016 |   7 |   5 |  __ |  __ |  __ |  __ | 
819 | 0.387 | 0.770 | 0.012 | 10.028 |   7 |   5 |  __ |  __ |  __ |  __ | 
820 | 0.894 | 0.006 | 0.001 | 10.029 |   7 |   5 |  __ |  __ |  __ |  __ | 
821 | 0.515 | 0.212 | 0.008 | 10.037 |   7 |   4 |   1 | 10.058 | 0.25885 | 10.31700 | 
822 | 0.427 | 0.049 | 0.010 | 10.048 |   7 |   1 |   3 | 10.098 | 0.50251 | 10.60094 | 
823 | 0.194 | 0.849 | 0.020 | 10.068 |   7 |   1 |   2 | 10.171 | 0.02722 | 10.19815 | 
824 | 0.817 | 0.430 | 0.002 | 10.070 |   7 |   2 |   4 | 10.195 | 0.14081 | 10.33557 | 
825 | 0.382 | 0.603 | 0.012 | 10.082 |   7 |   3 |   2 | 10.198 | 0.08429 | 10.28243 | 
826 | 0.755 | 0.582 | 0.003 | 10.085 |   7 |   4 |   5 | 10.218 | 0.09021 | 10.30788 | 
827 | 0.251 | 0.799 | 0.017 | 10.102 |   7 |   4 |   2 | 10.282 | 0.03739 | 10.31982 | 
828 | 0.282 | 0.590 | 0.015 | 10.118 |   7 |   5 |  __ |  __ |  __ |  __ | 
829 | 0.137 | 0.862 | 0.024 | 10.142 |   7 |   5 |  __ |  __ |  __ |  __ | 
830 | 0.017 | 0.728 | 0.050 | 10.192 |   7 |   4 |   5 | 10.308 | 0.05302 | 10.36089 | 
831 | 0.218 | 0.379 | 0.019 | 10.210 |   7 |   3 |   1 | 10.317 | 0.16151 | 10.47851 | 
832 | 0.580 | 0.454 | 0.007 | 10.217 |   7 |   4 |   2 | 10.320 | 0.13171 | 10.45153 | 
833 | 0.068 | 0.379 | 0.033 | 10.250 |   7 |   4 |   4 | 10.336 | 0.16175 | 10.49733 | 
834 | 0.406 | 0.686 | 0.011 | 10.261 |   7 |   5 |  __ |  __ |  __ |  __ | 
835 | 0.047 | 0.510 | 0.037 | 10.298 |   7 |   4 |   5 | 10.361 | 0.11217 | 10.47306 | 
836 | 0.983 | 0.191 | 0.000 | 10.298 |   7 |   5 |  __ |  __ |  __ |  __ | 
837 | 0.446 | 0.230 | 0.010 | 10.308 |   7 |   5 |  __ |  __ |  __ |  __ | 
838 | 0.277 | 0.091 | 0.016 | 10.323 |   7 |   2 |   6 | 10.366 | 0.39875 | 10.76509 | 
839 | 0.672 | 0.508 | 0.005 | 10.328 |   7 |   3 |   7 | 10.368 | 0.11301 | 10.48066 | 
840 | 0.496 | 0.366 | 0.009 | 10.337 |   7 |   3 |   2 | 10.452 | 0.16752 | 10.61905 | 
841 | 0.982 | 0.027 | 0.000 | 10.337 |   7 |   4 |   5 | 10.473 | 0.60231 | 11.07537 | 
842 | 0.274 | 0.824 | 0.016 | 10.353 |   7 |   5 |  __ |  __ |  __ |  __ | 
843 | 0.152 | 0.106 | 0.023 | 10.376 |   7 |   2 |   1 | 10.479 | 0.37484 | 10.85335 | 
844 | 0.507 | 0.591 | 0.008 | 10.384 |   7 |   3 |   7 | 10.481 | 0.08769 | 10.56835 | 
845 | 0.751 | 0.474 | 0.003 | 10.388 |   7 |   4 |   4 | 10.497 | 0.12426 | 10.62159 | 
846 | 0.001 | 0.499 | 0.083 | 10.471 |   7 |   4 |   7 | 10.568 | 0.11592 | 10.68427 | 
847 | 0.728 | 0.657 | 0.004 | 10.475 |   7 |   4 |   3 | 10.601 | 0.07000 | 10.67094 | 
848 | 0.880 | 0.399 | 0.002 | 10.477 |   7 |   5 |  __ |  __ |  __ |  __ | 
849 | 0.688 | 0.416 | 0.005 | 10.481 |   7 |   3 |   2 | 10.619 | 0.14635 | 10.76540 | 
850 | 0.941 | 0.282 | 0.001 | 10.482 |   7 |   4 |   4 | 10.622 | 0.21085 | 10.83244 | 
851 | 0.244 | 0.814 | 0.017 | 10.499 |   7 |   4 |   3 | 10.671 | 0.03431 | 10.70525 | 
852 | 0.289 | 0.422 | 0.015 | 10.514 |   7 |   5 |  __ |  __ |  __ |  __ | 
853 | 0.165 | 0.701 | 0.022 | 10.536 |   7 |   5 |  __ |  __ |  __ |  __ | 
854 | 0.156 | 0.524 | 0.023 | 10.559 |   7 |   5 |  __ |  __ |  __ |  __ | 
855 | 0.463 | 0.205 | 0.009 | 10.568 |   7 |   5 |  __ |  __ |  __ |  __ | 
856 | 0.096 | 0.229 | 0.029 | 10.597 |   7 |   4 |   7 | 10.684 | 0.24591 | 10.93018 | 
857 | 0.386 | 0.654 | 0.012 | 10.608 |   7 |   4 |   3 | 10.705 | 0.07069 | 10.77594 | 
858 | 0.697 | 0.621 | 0.004 | 10.613 |   7 |   5 |  __ |  __ |  __ |  __ | 
859 | 0.156 | 0.248 | 0.023 | 10.635 |   7 |   3 |   6 | 10.765 | 0.23208 | 10.99717 | 
860 | 0.601 | 0.092 | 0.006 | 10.642 |   7 |   4 |   2 | 10.765 | 0.39686 | 11.16226 | 
861 | 0.722 | 0.178 | 0.004 | 10.646 |   7 |   5 |  __ |  __ |  __ |  __ | 
862 | 0.793 | 0.961 | 0.003 | 10.648 |   7 |   5 |  __ |  __ |  __ |  __ | 
863 | 0.541 | 0.170 | 0.007 | 10.656 |   7 |   5 |  __ |  __ |  __ |  __ | 
864 | 0.690 | 0.595 | 0.005 | 10.661 |   7 |   5 |  __ |  __ |  __ |  __ | 
865 | 0.779 | 0.073 | 0.003 | 10.664 |   7 |   5 |  __ |  __ |  __ |  __ | 
866 | 0.220 | 0.620 | 0.018 | 10.682 |   7 |   4 |   3 | 10.776 | 0.07969 | 10.85563 | 
867 | 0.945 | 0.562 | 0.001 | 10.683 |   7 |   5 |  __ |  __ |  __ |  __ | 
868 | 0.432 | 0.390 | 0.010 | 10.693 |   7 |   4 |   4 | 10.832 | 0.15694 | 10.98938 | 
869 | 0.589 | 0.106 | 0.006 | 10.699 |   7 |   5 |  __ |  __ |  __ |  __ | 
870 | 0.781 | 0.139 | 0.003 | 10.702 |   7 |   5 |  __ |  __ |  __ |  __ | 
871 | 0.053 | 0.058 | 0.036 | 10.738 |   7 |   4 |   1 | 10.853 | 0.47539 | 11.32874 | 
872 | 0.564 | 0.809 | 0.007 | 10.745 |   7 |   5 |  __ |  __ |  __ |  __ | 
873 | 0.112 | 0.015 | 0.027 | 10.772 |   7 |   3 |   3 | 10.856 | 0.69610 | 11.55173 | 
874 | 0.131 | 0.158 | 0.025 | 10.797 |   7 |   3 |   7 | 10.930 | 0.30805 | 11.23823 | 
875 | 0.879 | 0.781 | 0.002 | 10.798 |   7 |   4 |   4 | 10.989 | 0.04128 | 11.03065 | 
876 | 0.952 | 0.818 | 0.001 | 10.799 |   7 |   5 |  __ |  __ |  __ |  __ | 
877 | 0.132 | 0.403 | 0.025 | 10.824 |   7 |   5 |  __ |  __ |  __ |  __ | 
878 | 0.437 | 0.338 | 0.010 | 10.834 |   7 |   4 |   6 | 10.997 | 0.18061 | 11.17778 | 
879 | 0.872 | 0.815 | 0.002 | 10.835 |   7 |   5 |  __ |  __ |  __ |  __ | 
880 | 0.599 | 0.684 | 0.006 | 10.842 |   7 |   5 |  __ |  __ |  __ |  __ | 
881 | 0.287 | 0.393 | 0.015 | 10.857 |   7 |   3 |   4 | 11.031 | 0.15559 | 11.18624 | 
882 | 0.865 | 0.541 | 0.002 | 10.859 |   7 |   4 |   5 | 11.075 | 0.10235 | 11.17772 | 
883 | 0.509 | 0.571 | 0.008 | 10.867 |   7 |   5 |  __ |  __ |  __ |  __ | 
884 | 0.098 | 0.116 | 0.028 | 10.895 |   7 |   5 |  __ |  __ |  __ |  __ | 
885 | 0.407 | 0.406 | 0.011 | 10.906 |   7 |   5 |  __ |  __ |  __ |  __ | 
886 | 0.908 | 0.162 | 0.001 | 10.907 |   7 |   5 |  __ |  __ |  __ |  __ | 
887 | 0.376 | 0.117 | 0.012 | 10.919 |   7 |   5 |  __ |  __ |  __ |  __ | 
888 | 0.181 | 0.724 | 0.021 | 10.940 |   7 |   4 |   2 | 11.162 | 0.05386 | 11.21612 | 
889 | 0.613 | 0.214 | 0.006 | 10.946 |   7 |   5 |  __ |  __ |  __ |  __ | 
890 | 0.620 | 0.347 | 0.006 | 10.952 |   7 |   5 |  __ |  __ |  __ |  __ | 
891 | 0.507 | 0.915 | 0.008 | 10.960 |   7 |   5 |  __ |  __ |  __ |  __ | 
892 | 0.701 | 0.494 | 0.004 | 10.965 |   7 |   5 |  __ |  __ |  __ |  __ | 
893 | 0.738 | 0.500 | 0.004 | 10.968 |   7 |   5 |  __ |  __ |  __ |  __ | 
894 | 0.659 | 0.049 | 0.005 | 10.973 |   7 |   5 |  __ |  __ |  __ |  __ | 
895 | 0.650 | 0.590 | 0.005 | 10.979 |   7 |   5 |  __ |  __ |  __ |  __ | 
896 | 0.171 | 0.322 | 0.022 | 11.000 |   7 |   3 |   5 | 11.178 | 0.18884 | 11.36656 | 
897 | 0.951 | 0.888 | 0.001 | 11.001 |   7 |   4 |   6 | 11.178 | 0.01989 | 11.19767 | 
898 | 0.402 | 0.507 | 0.011 | 11.012 |   7 |   5 |  __ |  __ |  __ |  __ | 
899 | 0.030 | 0.402 | 0.043 | 11.055 |   7 |   4 |   4 | 11.186 | 0.15190 | 11.33814 | 
900 | 0.523 | 0.263 | 0.008 | 11.063 |   7 |   5 |  __ |  __ |  __ |  __ | 
901 | 0.486 | 0.988 | 0.009 | 11.071 |   7 |   5 |  __ |  __ |  __ |  __ | 
902 | 0.484 | 0.260 | 0.009 | 11.080 |   7 |   4 |   6 | 11.198 | 0.22429 | 11.42195 | 
903 | 0.673 | 0.372 | 0.005 | 11.085 |   7 |   5 |  __ |  __ |  __ |  __ | 
904 | 0.799 | 0.266 | 0.003 | 11.088 |   7 |   5 |  __ |  __ |  __ |  __ | 
905 | 0.662 | 0.889 | 0.005 | 11.093 |   7 |   5 |  __ |  __ |  __ |  __ | 
906 | 0.436 | 0.335 | 0.010 | 11.103 |   7 |   5 |  __ |  __ |  __ |  __ | 
907 | 0.612 | 0.071 | 0.006 | 11.109 |   7 |   5 |  __ |  __ |  __ |  __ | 
908 | 0.824 | 0.641 | 0.002 | 11.111 |   7 |   5 |  __ |  __ |  __ |  __ | 
909 | 0.511 | 0.540 | 0.008 | 11.120 |   7 |   5 |  __ |  __ |  __ |  __ | 
910 | 0.378 | 0.991 | 0.012 | 11.131 |   7 |   5 |  __ |  __ |  __ |  __ | 
911 | 0.047 | 0.197 | 0.037 | 11.169 |   7 |   4 |   2 | 11.216 | 0.27035 | 11.48647 | 
912 | 0.782 | 0.048 | 0.003 | 11.172 |   7 |   5 |  __ |  __ |  __ |  __ | 
913 | 0.594 | 0.447 | 0.006 | 11.178 |   7 |   3 |   7 | 11.238 | 0.13415 | 11.37238 | 
914 | 0.167 | 0.979 | 0.022 | 11.200 |   7 |   2 |   1 | 11.329 | 0.00360 | 11.33234 | 
915 | 0.224 | 0.335 | 0.018 | 11.218 |   7 |   2 |   1 | 11.332 | 0.18227 | 11.51461 | 
916 | 0.855 | 0.289 | 0.002 | 11.220 |   7 |   3 |   4 | 11.338 | 0.20697 | 11.54511 | 
917 | 0.119 | 0.197 | 0.026 | 11.246 |   7 |   3 |   5 | 11.367 | 0.27050 | 11.63706 | 
918 | 0.639 | 0.536 | 0.005 | 11.251 |   7 |   4 |   7 | 11.372 | 0.10381 | 11.47618 | 
919 | 0.010 | 0.750 | 0.057 | 11.308 |   7 |   5 |  __ |  __ |  __ |  __ | 
920 | 0.426 | 0.568 | 0.010 | 11.318 |   7 |   5 |  __ |  __ |  __ |  __ | 
921 | 0.529 | 0.814 | 0.008 | 11.326 |   7 |   5 |  __ |  __ |  __ |  __ | 
922 | 0.478 | 0.148 | 0.009 | 11.335 |   7 |   3 |   6 | 11.422 | 0.31837 | 11.74033 | 
923 | 0.150 | 0.841 | 0.023 | 11.358 |   7 |   3 |   7 | 11.476 | 0.02885 | 11.50503 | 
924 | 0.109 | 0.734 | 0.027 | 11.385 |   7 |   2 |   2 | 11.486 | 0.05149 | 11.53796 | 
925 | 0.977 | 0.309 | 0.000 | 11.385 |   7 |   3 |   7 | 11.505 | 0.19580 | 11.70084 | 
926 | 0.825 | 0.138 | 0.002 | 11.388 |   7 |   4 |   1 | 11.515 | 0.32967 | 11.84428 | 
927 | 0.571 | 0.741 | 0.007 | 11.395 |   7 |   5 |  __ |  __ |  __ |  __ | 
928 | 0.381 | 0.441 | 0.012 | 11.406 |   7 |   5 |  __ |  __ |  __ |  __ | 
929 | 0.908 | 0.179 | 0.001 | 11.408 |   7 |   5 |  __ |  __ |  __ |  __ | 
930 | 0.203 | 0.265 | 0.019 | 11.427 |   7 |   4 |   2 | 11.538 | 0.22104 | 11.75899 | 
931 | 0.704 | 0.588 | 0.004 | 11.431 |   7 |   5 |  __ |  __ |  __ |  __ | 
932 | 0.504 | 0.710 | 0.008 | 11.440 |   7 |   5 |  __ |  __ |  __ |  __ | 
933 | 0.741 | 0.283 | 0.004 | 11.443 |   7 |   5 |  __ |  __ |  __ |  __ | 
934 | 0.306 | 0.469 | 0.014 | 11.458 |   7 |   5 |  __ |  __ |  __ |  __ | 
935 | 0.245 | 0.883 | 0.017 | 11.475 |   7 |   5 |  __ |  __ |  __ |  __ | 
936 | 0.599 | 0.993 | 0.006 | 11.481 |   7 |   4 |   4 | 11.545 | 0.00111 | 11.54622 | 
937 | 0.335 | 0.366 | 0.013 | 11.495 |   7 |   4 |   4 | 11.546 | 0.16746 | 11.71368 | 
938 | 0.127 | 0.603 | 0.025 | 11.520 |   7 |   3 |   3 | 11.552 | 0.08430 | 11.63603 | 
939 | 0.495 | 0.007 | 0.009 | 11.528 |   7 |   4 |   3 | 11.636 | 0.82870 | 12.46473 | 
940 | 0.549 | 0.990 | 0.007 | 11.536 |   7 |   5 |  __ |  __ |  __ |  __ | 
941 | 0.338 | 0.665 | 0.013 | 11.549 |   7 |   2 |   5 | 11.637 | 0.06799 | 11.70505 | 
942 | 0.766 | 0.367 | 0.003 | 11.552 |   7 |   2 |   7 | 11.701 | 0.16704 | 11.86788 | 
943 | 0.728 | 0.612 | 0.004 | 11.556 |   7 |   3 |   5 | 11.705 | 0.08181 | 11.78685 | 
944 | 0.317 | 0.643 | 0.014 | 11.570 |   7 |   4 |   4 | 11.714 | 0.07351 | 11.78719 | 
945 | 0.104 | 0.278 | 0.028 | 11.598 |   7 |   5 |  __ |  __ |  __ |  __ | 
946 | 0.529 | 0.858 | 0.008 | 11.605 |   7 |   5 |  __ |  __ |  __ |  __ | 
947 | 0.459 | 0.602 | 0.010 | 11.615 |   7 |   5 |  __ |  __ |  __ |  __ | 
948 | 0.731 | 0.845 | 0.004 | 11.619 |   7 |   5 |  __ |  __ |  __ |  __ | 
949 | 0.213 | 0.759 | 0.019 | 11.638 |   7 |   3 |   6 | 11.740 | 0.04601 | 11.78633 | 
950 | 0.843 | 0.221 | 0.002 | 11.640 |   7 |   4 |   2 | 11.759 | 0.25129 | 12.01028 | 
951 | 0.657 | 0.725 | 0.005 | 11.645 |   7 |   5 |  __ |  __ |  __ |  __ | 
952 | 0.220 | 0.272 | 0.018 | 11.663 |   7 |   5 |  __ |  __ |  __ |  __ | 
953 | 0.598 | 0.250 | 0.006 | 11.670 |   7 |   5 |  __ |  __ |  __ |  __ | 
954 | 0.176 | 0.574 | 0.021 | 11.691 |   7 |   5 |  __ |  __ |  __ |  __ | 
955 | 0.566 | 0.064 | 0.007 | 11.698 |   7 |   5 |  __ |  __ |  __ |  __ | 
956 | 0.959 | 0.016 | 0.001 | 11.698 |   7 |   5 |  __ |  __ |  __ |  __ | 
957 | 0.582 | 0.915 | 0.007 | 11.705 |   7 |   4 |   6 | 11.786 | 0.01478 | 11.80111 | 
958 | 0.899 | 0.722 | 0.001 | 11.706 |   7 |   4 |   5 | 11.787 | 0.05431 | 11.84116 | 
959 | 0.667 | 0.634 | 0.005 | 11.711 |   7 |   5 |  __ |  __ |  __ |  __ | 
960 | 0.213 | 0.621 | 0.019 | 11.730 |   7 |   4 |   4 | 11.787 | 0.07938 | 11.86657 | 
961 | 0.123 | 0.302 | 0.026 | 11.755 |   7 |   4 |   6 | 11.801 | 0.19967 | 12.00078 | 
962 | 0.118 | 0.145 | 0.026 | 11.781 |   7 |   4 |   5 | 11.841 | 0.32149 | 12.16266 | 
963 | 0.629 | 0.798 | 0.006 | 11.787 |   7 |   3 |   1 | 11.844 | 0.03767 | 11.88194 | 
964 | 0.868 | 0.335 | 0.002 | 11.789 |   7 |   3 |   4 | 11.867 | 0.18209 | 12.04866 | 
965 | 0.321 | 0.008 | 0.014 | 11.803 |   7 |   3 |   7 | 11.868 | 0.79918 | 12.66706 | 
