 i |     r |     q |    dt |  t_pr |   n |   m |   N |  t_no |   t_obs |    t_ko | 
174 | 0.743 | 0.580 | 0.004 | 2.004 |   8 |   4 |   4 | 2.119 | 0.09087 | 2.21001 | 
175 | 0.629 | 0.341 | 0.006 | 2.009 |   8 |   5 |  __ |  __ |  __ |  __ | 
176 | 0.344 | 0.741 | 0.013 | 2.022 |   8 |   4 |   5 | 2.119 | 0.05004 | 2.16946 | 
177 | 0.137 | 0.452 | 0.024 | 2.047 |   8 |   4 |   2 | 2.124 | 0.13232 | 2.25591 | 
178 | 0.376 | 0.129 | 0.012 | 2.059 |   8 |   5 |  __ |  __ |  __ |  __ | 
179 | 0.496 | 0.446 | 0.009 | 2.067 |   8 |   4 |   5 | 2.169 | 0.13445 | 2.30391 | 
180 | 0.499 | 0.448 | 0.008 | 2.076 |   8 |   5 |  __ |  __ |  __ |  __ | 
181 | 0.954 | 0.626 | 0.001 | 2.076 |   8 |   5 |  __ |  __ |  __ |  __ | 
182 | 0.645 | 0.664 | 0.005 | 2.082 |   8 |   5 |  __ |  __ |  __ |  __ | 
183 | 0.313 | 0.559 | 0.014 | 2.096 |   8 |   5 |  __ |  __ |  __ |  __ | 
184 | 0.737 | 0.893 | 0.004 | 2.099 |   8 |   5 |  __ |  __ |  __ |  __ | 
185 | 0.427 | 0.756 | 0.010 | 2.110 |   8 |   4 |   4 | 2.210 | 0.04660 | 2.25661 | 
186 | 0.823 | 0.136 | 0.002 | 2.112 |   8 |   5 |  __ |  __ |  __ |  __ | 
187 | 0.424 | 0.477 | 0.010 | 2.123 |   8 |   3 |   2 | 2.256 | 0.12351 | 2.37942 | 
188 | 0.655 | 0.024 | 0.005 | 2.128 |   8 |   3 |   4 | 2.257 | 0.61897 | 2.87558 | 
189 | 0.423 | 0.924 | 0.010 | 2.138 |   8 |   4 |   7 | 2.291 | 0.01319 | 2.30456 | 
190 | 0.323 | 0.873 | 0.014 | 2.152 |   8 |   5 |  __ |  __ |  __ |  __ | 
191 | 0.414 | 0.971 | 0.011 | 2.163 |   8 |   5 |  __ |  __ |  __ |  __ | 
192 | 0.585 | 0.630 | 0.007 | 2.169 |   8 |   5 |  __ |  __ |  __ |  __ | 
193 | 0.699 | 0.519 | 0.004 | 2.174 |   8 |   4 |   3 | 2.302 | 0.10940 | 2.41144 | 
194 | 0.058 | 0.207 | 0.035 | 2.209 |   8 |   5 |  __ |  __ |  __ |  __ | 
195 | 0.821 | 0.153 | 0.002 | 2.211 |   8 |   4 |   5 | 2.304 | 0.31283 | 2.61674 | 
196 | 0.548 | 0.954 | 0.007 | 2.218 |   8 |   5 |  __ |  __ |  __ |  __ | 
197 | 0.653 | 0.918 | 0.005 | 2.224 |   8 |   5 |  __ |  __ |  __ |  __ | 
198 | 0.216 | 0.517 | 0.019 | 2.242 |   8 |   5 |  __ |  __ |  __ |  __ | 
199 | 0.662 | 0.226 | 0.005 | 2.247 |   8 |   5 |  __ |  __ |  __ |  __ | 
200 | 0.570 | 0.457 | 0.007 | 2.254 |   8 |   5 |  __ |  __ |  __ |  __ | 
201 | 0.796 | 0.956 | 0.003 | 2.257 |   8 |   3 |   7 | 2.305 | 0.00758 | 2.31213 | 
202 | 0.377 | 0.485 | 0.012 | 2.269 |   8 |   4 |   7 | 2.312 | 0.12046 | 2.43260 | 
203 | 0.603 | 0.886 | 0.006 | 2.275 |   8 |   5 |  __ |  __ |  __ |  __ | 
204 | 0.598 | 0.631 | 0.006 | 2.281 |   8 |   5 |  __ |  __ |  __ |  __ | 
205 | 0.985 | 0.176 | 0.000 | 2.281 |   8 |   5 |  __ |  __ |  __ |  __ | 
206 | 0.554 | 0.787 | 0.007 | 2.289 |   8 |   5 |  __ |  __ |  __ |  __ | 
207 | 0.681 | 0.470 | 0.005 | 2.293 |   8 |   4 |   8 | 2.333 | 0.12592 | 2.45842 | 
208 | 0.033 | 0.969 | 0.042 | 2.335 |   8 |   0 |   1 | 2.371 | 0.00522 | 2.37574 | 
209 | 0.555 | 0.690 | 0.007 | 2.342 |   8 |   1 |   1 | 2.376 | 0.06180 | 2.43755 | 
210 | 0.374 | 0.582 | 0.012 | 2.354 |   8 |   2 |   2 | 2.379 | 0.09017 | 2.46959 | 
211 | 0.092 | 0.851 | 0.029 | 2.383 |   8 |   0 |   6 | 2.395 | 0.02684 | 2.42140 | 
212 | 0.054 | 0.389 | 0.036 | 2.419 |   7 |   0 |   3 | 2.419 | 0.15722 | 2.57616 | 
213 | 0.361 | 0.089 | 0.012 | 2.431 |   7 |   0 |   6 | 2.431 | 0.40349 | 2.83486 | 
214 | 0.345 | 0.849 | 0.013 | 2.444 |   6 |   0 |   1 | 2.444 | 0.02719 | 2.47153 | 
215 | 0.676 | 0.093 | 0.005 | 2.449 |   7 |   0 |   7 | 2.449 | 0.39577 | 2.84489 | 
216 | 0.262 | 0.488 | 0.016 | 2.465 |   7 |   0 |   8 | 2.465 | 0.11946 | 2.58491 | 
217 | 0.426 | 0.130 | 0.010 | 2.476 |   6 |   0 |   1 | 2.476 | 0.33967 | 2.81552 | 
218 | 0.546 | 0.529 | 0.007 | 2.483 |   7 |   0 |   2 | 2.483 | 0.10606 | 2.58928 | 
219 | 0.100 | 0.843 | 0.028 | 2.511 |   8 |   0 |   3 | 2.576 | 0.02845 | 2.60462 | 
220 | 0.799 | 0.857 | 0.003 | 2.514 |   8 |   1 |   8 | 2.585 | 0.02580 | 2.61071 | 
221 | 0.771 | 0.986 | 0.003 | 2.517 |   8 |   2 |   2 | 2.589 | 0.00237 | 2.59165 | 
222 | 0.589 | 0.909 | 0.006 | 2.524 |   8 |   3 |   2 | 2.592 | 0.01593 | 2.60758 | 
223 | 0.058 | 0.483 | 0.035 | 2.558 |   8 |   4 |   3 | 2.605 | 0.12116 | 2.72577 | 
224 | 0.070 | 0.277 | 0.032 | 2.591 |   8 |   2 |   2 | 2.608 | 0.21369 | 2.82127 | 
225 | 0.043 | 0.596 | 0.038 | 2.629 |   6 |   0 |   5 | 2.629 | 0.08637 | 2.71547 | 
226 | 0.442 | 0.324 | 0.010 | 2.639 |   7 |   0 |   8 | 2.639 | 0.18808 | 2.82714 | 
227 | 0.464 | 0.971 | 0.009 | 2.648 |   8 |   0 |   5 | 2.715 | 0.00482 | 2.72029 | 
228 | 0.343 | 0.994 | 0.013 | 2.661 |   8 |   1 |   5 | 2.720 | 0.00102 | 2.72131 | 
229 | 0.693 | 0.203 | 0.004 | 2.666 |   8 |   2 |   5 | 2.721 | 0.26538 | 2.98668 | 
230 | 0.891 | 0.372 | 0.001 | 2.667 |   8 |   3 |   3 | 2.726 | 0.16468 | 2.89045 | 
231 | 0.698 | 0.774 | 0.004 | 2.672 |   8 |   4 |   1 | 2.816 | 0.04264 | 2.85816 | 
232 | 0.683 | 0.474 | 0.005 | 2.676 |   8 |   5 |  __ |  __ |  __ |  __ | 
233 | 0.661 | 0.075 | 0.005 | 2.681 |   8 |   5 |  __ |  __ |  __ |  __ | 
234 | 0.062 | 0.030 | 0.034 | 2.715 |   8 |   5 |  __ |  __ |  __ |  __ | 
235 | 0.017 | 0.304 | 0.050 | 2.765 |   8 |   1 |   2 | 2.821 | 0.19819 | 3.01946 | 
236 | 0.597 | 0.442 | 0.006 | 2.772 |   8 |   2 |   8 | 2.827 | 0.13594 | 2.96307 | 
